Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
85,British Virgin Islands,7/26/17 0:22,5/10/18 1:37,18.421,-64.639, - ,,,,United Kingdom,British Virgin Islands,
86,Saint Lucia,7/26/17 0:22,5/10/18 1:38,13.909,-60.978, - ,,,,Saint Lucia,Saint Lucia,
87,Aruba,7/26/17 0:23,5/10/18 1:38,12.521,-69.968, - ,,,,Netherlands,Aruba,
88,Colombia - Pacific Ocean,7/26/17 0:23,5/10/18 1:39,4.545,-77.395, - ,,,,Colombia ,Colombia ,
89,Colombia - Caribbean Sea,7/26/17 0:23,5/10/18 1:40,11.391,-74.69, - ,,,,Colombia ,Colombia ,
90,Norway,8/10/17 6:31,5/10/18 1:41,58.39,9.04, - ,,,,Norway,Norway,
91,Denmark,8/10/17 6:52,5/10/18 1:42,56.548,10.501, - ,,,,Denmark,Denmark,
92,Saint Kitts and Nevis,9/26/17 8:08,5/10/18 1:43,17.357,-62.782, - ,,,,Saint Kitts and Nevis,Saint Kitts and Nevis,
93,Trinidad and Tobago,9/26/17 8:08,5/10/18 1:44,10.795,-58.915, - ,,,,Trinidad and Tobago,Trinidad and Tobago,
94,Dominican Republic,9/26/17 8:09,5/10/18 1:45,18.25,-70.124, - ,,,,Dominican Republic,Dominican Republic,
95,Malaysia,10/11/17 9:42,10/11/17 9:42,3.751893,107.666016, - ,,,,Malaysia,Malaysia,
96,Montserrat,11/6/17 21:01,5/10/18 1:48,16.742,-62.187, - ,,,,United Kingdom,Montserrat,
98,Mexico - Baja California,11/15/17 15:52,11/15/17 15:52,26.39,-110.74, - ,,,,Mexico ,Baja California,
100,Saba Bank,11/29/17 19:20,11/2/23 22:12,17.63333,-66.25, - ,,,,Netherlands,Saba Bank,
101,Indonesia,12/4/17 17:23,12/4/17 17:23,-8.008,115.4, - ,,,,Indonesia,Indonesia,
102,Egypt - Red Sea,12/7/17 11:44,12/7/17 11:44,26.011,34.645, - ,,,,Egypt ,Egypt ,
103,Djibouti,12/7/17 11:45,12/7/17 11:45,11.743,43.148, - ,,,,Djibouti,Djibouti,
104,Pitcairn Islands,12/10/17 10:32,12/10/17 10:32,-24.376,-128.324, - ,,,,United Kingdom,Pitcairn Islands,
105,Taiwan,12/11/17 10:07,12/11/17 10:07,21.733,120.844, - ,,,,Taiwan,Taiwan,
106,India - Arabian Sea,12/11/17 10:24,10/27/23 18:04,16.307,73.004, - ,,,,India ,India ,
107,Republic of Palau,3/15/18 6:26,5/10/18 1:31,7.522,134.459, - ,,,,Palau,Palau,
108,Croatia,4/10/18 0:40,11/13/18 4:38,44.373,14.925, - ,,,,Croatia,Croatia,
109,Peru,4/16/18 2:03,11/13/18 4:33,-10.773,-77.981, - ,,,,Peru,Peru,
111,Portugal,4/20/18 5:24,4/20/18 5:24,36.954,-9.004, - ,,,,Portugal,Portugal,
113,Oman,5/6/18 22:51,5/10/18 1:27,22.427,59.909, - ,,,,Oman,Oman,
114,Tonga,5/10/18 0:51,5/10/18 0:51,-21.179,-175.199, - ,,,,Tonga,Tonga,
115,Kiribati,5/10/18 0:57,5/10/18 0:57,1.99,-157.49, - ,,,,Kiribati,Kiribati,
116,New Caledonia,5/10/18 1:02,5/10/18 1:02,-20.015,164.195, - ,Chesterfield Islands,-19.35,158.67,France,New Caledonia,
117,Mexico - Caribbean Sea,5/10/18 1:07,10/23/23 20:25,21.032,-86.703, - ,,,,Mexico ,Mexico ,
118,Sweden,5/10/18 1:15,5/10/18 1:15,58.866,11.167, - ,,,,Sweden,Sweden,
119,Italy - Adriatic-Ionian,5/10/18 1:22,12/6/23 22:00,41.855,17.29, - ,,,,Italy ,Italy ,
120,Greece,5/10/18 1:25,5/10/18 1:25,39.019,25.268, - ,,,,Greece,Greece,
121,Malta,5/11/18 23:53,5/11/18 23:53,35.9375,14.3754, - ,,,,Malta,Malta,
122,Christmas Island,5/11/18 23:55,5/11/18 23:55,-10.4475,105.6904, - ,,,,Australia ,Christmas Island,
123,Seychelles,5/11/18 23:56,5/11/18 23:56,-4.6796,55.492, - ,,,,Seychelles,Seychelles,
124,Spain - Atlantic Ocean,5/11/18 23:58,10/23/23 18:46,43.597,-9.496, - ,,,,Spain ,Spain ,
125,Turkey - Sea of Marmara,5/11/18 23:59,5/11/18 23:59,40.6681,28.1123, - ,,,,Turkey ,Turkey ,
126,Italy - Mediterranean,5/12/18 0:02,5/12/18 0:02,37.859,16.318, - ,,,,Italy ,Italy ,
127,Mauritius,5/18/18 6:13,5/18/18 6:13,-20.348,57.552, - ,,,,Mauritius,Mauritius,
129,Navassa Island,5/21/18 6:10,5/21/18 6:12,18.41,-75.011, - ,,,,Haiti,Navassa Island,Overlapping claim: USA and Jamaica
130,Turkey - Mediterranean Sea,6/21/18 10:12,6/21/18 10:12,38.865,26.52, - ,,,,Turkey ,Turkey ,
131,Chile - Easter Island,9/25/18 22:59,10/23/23 20:22,-27.1127,-109.3497, - ,,,,Chile,Easter Island,
132,New Zealand,9/25/18 23:02,9/25/18 23:02,-40.9006,174.886, - ,,,,New Zealand,New Zealand,
133,Japan - Ogasawara,9/26/18 22:12,9/26/18 22:12,27.0944,142.1919, - ,,,,Japan ,Ogasawara Islands,
134,Portugal - Azores,9/26/18 22:19,9/26/18 22:19,37.7412,-25.6756, - ,,,,Portugal ,Azores,
135,France - Mediterranean Sea,9/26/18 22:24,7/28/24 7:35,43.186013,5.419261, - ,,,,France,France ,
136,Mexico - Gulf of Mexico,10/4/18 5:08,10/4/18 5:08,25.681137,-89.890137, - ,,,,Mexico ,Gulf of Mexico,
138,Singapore,12/13/20 3:41,12/13/20 3:41,1.29027,103.851959, - ,,,,Singapore,Singapore,
139,Madagascar,1/4/21 9:02,1/4/21 9:02,-23.35,43.6, - ,,,,Madagascar,Madagascar,
140,Tanzania,1/7/21 18:10,1/7/21 18:10,-5.46,39.41, - ,,,,Tanzania,Tanzania,
141,Mayotte,1/7/21 18:50,1/7/21 18:50,-12.8,45.13, - ,,,,France,Mayotte,Overlapping claim: Comoros
142,Reunion Island,6/2/21 8:38,7/17/24 5:01,-21.115,55.536, - ,,,,France,Reunion Islands,Not listed in marineregions.org
143,Canada - British Columbia,7/29/21 7:21,7/29/21 7:22,49.396,-123.397, - ,,,,Canada ,Canada ,
144,Myanmar - Andaman Sea,3/1/23 16:17,3/1/23 16:17,15.20285,96.229625, - ,,,,Myanmar,Myanmar,
145,China - South China Sea,3/1/23 17:59,3/1/23 17:59,20.11184,114.63132, - ,,,,China ,China ,
146,Iran,3/1/23 18:41,3/1/23 18:41,32.414048,53.683487, - ,,,,Iran,Iran,
147,Albania,3/10/23 2:07,3/10/23 2:07,41,19, - ,,,,Albania,Albania,
148,Cyprus,3/17/23 20:32,10/23/23 20:25,34.691839,33.322059, - ,,,,Cyprus,Cyprus,
149,Lebanon,3/17/23 20:32,10/23/23 20:23,33.899652,35.464304, - ,,,,Lebanon,Lebanon,
150,Chile,3/20/23 17:41,10/23/23 20:11,-33.044792,-71.662216, - ,,,,Chile,Chile,
151,Montenegro,3/28/23 3:01,10/23/23 20:06,42.267465,18.763376, - ,,,,Montenegro,Montenegro,
152,Canada - Atlantic Ocean,3/30/23 22:08,10/23/23 20:04,54.635101,-57.168915, - ,,,,Canada ,Canada ,
153,Tunisia,4/7/23 1:20,4/7/23 1:20,36.8065,10.1815, - ,,,,Tunisia,Tunisia,
154,Clipperton Island,5/9/23 0:21,5/9/23 0:21,10.3021,-109.2177, - ,,,,France,Clipperton Island,
155,Japan,5/10/23 13:46,5/10/23 13:46,33.251,134.144,Mainland Japan,,,,Japan,Japan,
156,France - Atlantic Ocean,5/18/23 16:46,5/18/23 16:46,48.274522,-4.965725, - ,,,,France,France ,
157,Spain - Canary Islands,5/18/23 16:49,5/18/23 16:49,28.322111,-15.931213, - ,,,,Spain ,Canary Islands,
158,Scotland,5/19/23 16:01,5/19/23 16:01,55.991843,-5.620008, - ,,,,United Kingdom,Scotland,
159,England,5/19/23 20:39,5/19/23 20:39,50.60668,-1.384151, - ,,,,United Kingdom,England,
160,Mexico - Pacific Ocean,5/25/23 15:09,10/23/23 20:30,17.33098,-101.44811, - ,,,,Mexico ,Mexico ,
161,Netherlands,5/26/23 19:07,5/26/23 19:07,52.475315,4.50592, - ,,,,Netherlands,Netherlands,
162,Morocco,5/28/23 22:27,5/28/23 22:27,33.22372,-8.597737, - ,,,,Morocco,Morocco,
163,Ireland,7/3/23 6:16,7/3/23 6:16,53.327963,-6.045624, - ,,,,Ireland,Ireland,
164,Vietnam,7/27/23 14:21,7/27/23 14:21,18.906802,105.83263, - ,,,,Vietnam,Vietnam,
165,India - Andaman and Nicobar Islands,8/5/23 19:35,8/5/23 19:35,12.032372,92.799939, - ,,,,India,Andaman and Nicobar Islands,
166,Saya de Malha Bank,8/15/23 0:00,8/15/23 0:00,-10.500008,61.500001, - ,,,,High Seas,Saya de Malha Bank,Listed in marineregions.org as High Seas
167,South Korea - Jejudo Island,9/6/23 23:46,9/6/23 23:46,33.33361,126.853885, - ,,,,South Korea,Jejudo Island,
168,French Guiana,9/11/23 23:03,9/11/23 23:03,5.132524,-52.543356, - ,,,,France,French Guiana,
169,Belgium,9/11/23 23:04,9/11/23 23:04,51.221416,2.859179, - ,,,,Belgium,Belgium,
170,Mozambique,10/2/23 22:27,11/16/23 15:59,-18.763999,36.448306, - ,,,,Mozambique,Mozambique,
171,Costa Rica - Caribbean Sea,10/4/23 2:15,10/23/23 18:48,10.244289,-83.237605, - ,,,,Costa Rica,Costa Rica ,
172,Germany,10/4/23 2:17,11/16/23 16:03,53.974675,8.1557, - ,,,,Germany,Germany,
173,Cape Verde,10/4/23 23:38,10/4/23 23:38,16.5388,-23.0418, - ,,,,Cape Verde,Cape Verde,
174,Comoros,10/4/23 23:40,11/16/23 16:06,-11.390937,43.278104, - ,,,,Comores,Comoros,
175,La Perouse,10/23/23 18:01,11/16/23 16:36,-19.71666,54.1666, - ,,,,France,La Perouse,
176,Salas y Gomez Nazca Ridge,10/23/23 20:15,11/16/23 16:36,-26.472347,-105.364326, - ,,,,Chile,Salas y Gomez Nazca Ridge,
177,India - Bay of Bengal,10/27/23 18:05,10/27/23 18:05,17.335027,82.899692, - ,,,,India,Bay of Bengal,
178,India - Laccadive Sea,10/27/23 18:06,10/27/23 18:06,8.063582,77.453289, - ,,,,India,Laccadive Sea,
180,Romania,12/19/23 23:35,12/19/23 23:35,45.943,24.967, - ,,,,Romania,Romania,
181,Kenya,7/25/24 23:08,7/25/24 23:08,-2.614,40.605, - ,,,,Kenya,Kenya,
