Id,Description,Created at,Updated at,Latitude,Longitude,Short description,Site name [Sites],Latitude [Sites],Longitude [Sites],SOVEREIGN1,TERRITORY1,Notes
32,Micronesia - Guam,6/17/16 7:12,5/24/17 4:18,13.444304,144.793731, - ,"Tumon Bay,Achang","13.5,13.217","144.783,144.717",USA,Guam,
33,USA - Hawaii,6/17/16 7:12,5/24/17 4:14,19.896766,-155.582782, - ,"Au'au Channel,Au'au Channel,Au'au Channel,Au'au Channel,Au'au Channel,Unnamed site,Au’au Channel,Au’au Channel,Maui,Maui,Kaua'I,Maui,Ni'ihau,Kaua'i,Maui,Kaua'I,Laysan,O'ahu,O'ahu,Kaua'I,Kaua'i,Kaua'i,Kaua'i,Maui,Necker,Ni'ihau,Nihoa,South Oahu,Au'au Channel,Pearl and Hermes Atoll,Southeastern Maui,Ni‘ihau,Necker,Laysan,Pearl and Hermes,Midway,Kure,Keahole Point,Cross Seamount,Au'au Channel,Au'au Channel,Au'au Channel,Au'au Channel,French Frigate Shoals,Midway Atoll,Kure Atoll,O'ahu,Lisianski,Laysan,Gardner Pinnacles,Ni‘ihau,Kauai,Oahu,Maui,Hawaii,Unnamed site,Au'au Channel,North-West Hawaiian Islands,Penguin Bank, Molokaii,Au'au Channel,French Frigate Shoals,Penguin Bank, Molokaii,Kure Atoll,Pearl and Hermes Atoll,Maro Reef,Laysan Island,Lisianski Island,Kure Atoll","20.797,20.95,20.942,20.814,20.856,19.896766,20.983,20.733,20.94,20.879,21.928,20.794,22.03,21.856,20.95,21.887,25.726,21.28,21.259,21.889,21.887,21.889,21.907,20.735,23.491,21.823,22.739,21.261,21.043,27.9,20.607,22.0,23.634,25.715,27.763,28.5,28.0,19.801,18.731,20.758,20.78,20.767,20.758,23.25,28.5,28.0,21.269,25.715,25.715,25.033,21.85,21.928,21.85,20.896,19.897,20.883,20.95,23.564,21.212,20.766,24.048,21.0,28.667,27.764,25.719,25.726,25.715,28.4918","-156.717,-156.75,-156.757,-156.711,-156.731,-155.582782,-156.633,-156.858,-156.762,-156.746,-159.661,-156.718,-160.102,-159.433,-156.753,-159.602,-171.824,-157.86,-157.709,-159.583,-159.602,-159.583,-159.629,-156.655,-164.754,-160.11,-161.172,-157.838,-157.184,-175.9,-155.926,-160.0,-164.741,-171.813,-175.984,-177.5,-178.0,-156.129,-158.26,-156.575,-156.673,-156.683,-156.683,-166.917,-177.5,-178.0,-157.981,-173.833,-172.5,-168.0,-160.0,-159.661,-157.838,-156.741,-156.758,-156.7,-156.766,-163.455,-157.355,-156.67,-166.327,-157.5,-178.5,-175.985,-170.016,-171.824,-173.833,-178.2879",USA ,Hawaii,
34,Honduras - Bay Islands,6/17/16 7:12,5/24/17 4:14,16.095,-86.927, - ,"Utila,Unnamed site,Stingray Point ,Little Bight ,Black Coral Wall ,Lighthouse Reef ,Coral View","16.095,16.095,16.0689055,16.07926302,16.08305968,16.08534778,16.08823274","-86.927,-86.927,-86.95477948,-86.92942222,-86.91699554,-86.89803786,-86.91094506",Honduras ,Bay Islands,
35,Israel - Red Sea,6/17/16 7:12,5/24/17 4:14,29.533699,34.959183, - ,"Interuniversity Institute for Marine Science ,Dekel Beach,Japanese Gardens,Katza,Interuniversity Institute for Marine ,Unnamed site,Interuniversity Institute for Marine Science,H. Steinitz Marine Biology Laboratory,Interuniversity Institute for Marine Science,Dekel Beach,H. Steinitz Marine Biology Laboratory,Interuniversity Institute for Marine Sciences,Interuniversity Institute for Marine ,Coral Beach,Eilat","29.5,29.523,29.505,29.523,29.5,29.501,29.5,29.5,29.5,29.539,29.5,29.5,29.5,29.514228,0.0","34.917,34.934,34.917,34.934,34.917,34.917,34.933,34.933,34.917,34.946,34.967,34.917,34.933,34.923732,0.0",Israel ,Israel ,
36,Italy - Ligurian-Tyrrhenian,6/17/16 7:12,12/6/23 21:54,43.7542,8.8363, - ,"Portofino,Punta Faro,Corallone,Mantice,Bordighera","44.3,44.287,44.226,44.271,43.779","9.2,9.221,8.46,8.523,7.681",Italy ,Italy ,
38,Jamaica,6/17/16 7:12,6/17/16 7:12,18.109581,-77.297508, - ,"Discovery Bay,Discovery Bay,Tobacco Reef,Discovery Bay,Unnamed site","18.467,18.458,16.833,18.5,18.11","-77.408,-77.398,-88.066,-77.333,-77.297",Jamaica,Jamaica,
39,Japan - Ryukyu Islands (Okinawa),6/17/16 7:12,11/13/18 4:22,26.212401,127.680932, - ,"Motobu Peninsula,Ryugu Reef,Sesoko Island,Unnamed site","26.704,26.531,26.67,26.198","127.878,127.862,127.865,127.632",Japan ,Ryukyu Islands,
40,USA - Johnston Atoll,6/17/16 7:12,5/24/17 4:19,16.756667,-169.533056, - ,"Johnston Atoll,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Unnamed site,Johnston Atoll","16.75,16.772,16.75,16.787,16.759,16.652,16.0","-169.5,-169.544,-169.5,-169.464,-169.532,-169.576,-169.0",USA ,Johnston Atoll,
41,Micronesia - Mariana Islands,6/17/16 7:12,5/24/17 4:19,16.616667,145.616667, - ,"Garapan Anchorage,Saipan,Tinian,Rota,Guam,Galvez Bank,Guam,Tinian,Saipan","15.25,15.23,15.1,14.2,13.55,13.1,13.5,15.18,15.0","145.6,145.75,145.6,145.2,144.87,144.45,144.8,144.75,145.63",USA,Mariana Islands,
42,Micronesia - Marshall Islands,6/17/16 7:12,5/24/17 4:19,6.068302,171.989379, - ,"Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Enewetak Atoll,Unnamed site,Enewetak Atoll","11.466,11.466,11.463,11.452,11.427,11.436,11.423,11.417,11.41,11.406,11.89,11.397,11.39,11.386,11.456,11.465","-162.384,-162.395,-162.372,-162.348,-162.274,-162.302,-162.261,-162.244,-162.179,-162.212,-162.199,-162.191,-162.178,-162.164,-162.284,162.189",Marshall Islands,Marshall Islands,
43,Martinique,6/17/16 7:12,6/17/16 7:12,14.642,-61.024, - ,Unnamed site,14.642,-61.024,France,Martinique,
